question_id,outline_frame_id,outline_id,heading_text,section_path,source_frame_id,block_id,block_role,document_id,filename,page_start,page_end,block_sequence,text_block_sequence,char_start,char_end,text_sha256,selection_method,selection_status,rejection_reason
Q-011,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:48e34928377b828f,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:48e34928377b828f,Connect a Computer to the LAN Port of the Modem,"Get Started > Connect a Computer, Switch, Hub, Router, or WiFi Router to the Modem > Connect a Computer to the LAN Port of the Modem",398c0bb9-3253-4629-a5ed-18f51d9fb36b:36789817-932f-55f7-9c50-bb45d2df0cbe,36789817-932f-55f7-9c50-bb45d2df0cbe,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,19,19,33,16,16538,16881,75df87898f76102c1891c61eab3ab38b60683591a879d8387d9804ee90b8df95,deterministic_direct_block_materialization,selected,
Q-012,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:38b50e33ee1e7189,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:38b50e33ee1e7189,Change the DHCP Server Settings,Manage the Modem LAN Settings > Change the DHCP Server Settings,398c0bb9-3253-4629-a5ed-18f51d9fb36b:fa675707-eec3-5dae-b80f-46a21238adcf,fa675707-eec3-5dae-b80f-46a21238adcf,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,28,30,47,23,25629,29203,afc225317f967f6f6240eddb65ccfa054002c60e0f25df9807302e63f277382d,deterministic_direct_block_materialization,selected,
Q-013,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:88b9a28663a8f104,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:88b9a28663a8f104,Manually Connect to or Disconnect From the Mobile Broadband Network,Manage the Mobile Broadband Connection > Manually Connect to or Disconnect From the Mobile Broadband Network,398c0bb9-3253-4629-a5ed-18f51d9fb36b:cf1f57e0-473a-57f3-8d91-a52b0070e80b,cf1f57e0-473a-57f3-8d91-a52b0070e80b,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,36,37,59,29,36196,37444,ec545eca3f07d66176a2e7666a88329560e11cfcfbbbb969a3306be2cdfcab49,deterministic_direct_block_materialization,selected,
Q-014,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:86696f313ad41e44,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:86696f313ad41e44,Remove a Service or Application for Port Forwarding,Secure Your Network > Manage Port Forwarding for Incoming Traffic > Remove a Service or Application for Port Forwarding,398c0bb9-3253-4629-a5ed-18f51d9fb36b:72dd6f50-8da8-5970-b90b-3a0719762e64,72dd6f50-8da8-5970-b90b-3a0719762e64,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,46,47,79,39,49983,51094,194d6f1b7d155a382cb006a1a2aa086111e27c3e921af0697328eac0079856cb,deterministic_direct_block_materialization,selected,
Q-015,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:f8bc4360594722fe,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:f8bc4360594722fe,Disable SIM Card Security,Secure Your Network > Manage SIM Card Security > Disable SIM Card Security,398c0bb9-3253-4629-a5ed-18f51d9fb36b:eb06abbc-3f74-5ddc-bfd6-17572beb2155,eb06abbc-3f74-5ddc-bfd6-17572beb2155,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,60,61,103,51,67664,69338,8380a54f0307d901294495fa249481c2d27c9bd910126e541e2e19659961c61b,deterministic_direct_block_materialization,selected,
Q-016,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:65329abb6d0ed1e0,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:65329abb6d0ed1e0,View Monthly Data and Session Data Usage,Manage the Modem and Monitor Usage and the Network > View Monthly Data and Session Data Usage,398c0bb9-3253-4629-a5ed-18f51d9fb36b:7e1a62c7-f256-5d08-a456-a62949c30491,7e1a62c7-f256-5d08-a456-a62949c30491,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,69,70,123,61,79457,81168,b47c8d03a7055446990a0c2df6fbf3abceaca16a05fa217a3d2dc3a492a7a629,deterministic_direct_block_materialization,selected,
Q-017,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:623d8b68d20208e6,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:623d8b68d20208e6,How do I access the modem’s web pages?,Frequently Asked Questions > How do I access the modem’s web pages?,398c0bb9-3253-4629-a5ed-18f51d9fb36b:43434cb0-0be2-5d97-be19-dfb7256b7c44,43434cb0-0be2-5d97-be19-dfb7256b7c44,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,84,84,155,77,97646,97764,43ffb188b5ea875b25a10b60be2e3de88275ebf211b64d9844788f2140b9e0e3,deterministic_direct_block_materialization,selected,
Q-018,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:6359ba84b27768d6,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:6359ba84b27768d6,Quick Tips for Troubleshooting,Alerts and Troubleshooting > Quick Tips for Troubleshooting,398c0bb9-3253-4629-a5ed-18f51d9fb36b:82ef2627-a58c-55ae-ab74-3f865a33e979,82ef2627-a58c-55ae-ab74-3f865a33e979,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,91,92,173,86,105878,106951,44af55f2f50fd024a53f14f3c54e4e48a4d9f8046ecb4fc5e4b6ed626a0a8b71,deterministic_direct_block_materialization,selected,
Q-019,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:540f7aed0e05d214,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:540f7aed0e05d214,Obtain an Internet IP Address From Your Service Provider,Alerts and Troubleshooting > Troubleshoot the Mobile Broadband Internet Connection > Obtain an Internet IP Address From Your Service Provider,398c0bb9-3253-4629-a5ed-18f51d9fb36b:6f442d4b-b8ba-5fe7-b4e9-9e90463dc194,6f442d4b-b8ba-5fe7-b4e9-9e90463dc194,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,95,96,187,93,112116,113014,031c51a6d94bb075206dfbf2328b9818af2ba34fdf411812cee0cf8204428a33,deterministic_direct_block_materialization,selected,
Q-020,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d0ee27b3b2631033,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d0ee27b3b2631033,Specify an Internet connection that uses a login and PPPoE service,Specify Your Internet Settings > Manually set up the Internet connection > Specify an Internet connection that uses a login and PPPoE service,d363d52d-99b4-4258-9e83-eca4fbdf4722:1190a45f-877b-5cd2-a8d9-5ab1c390c374,1190a45f-877b-5cd2-a8d9-5ab1c390c374,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,27,28,49,24,19132,22311,af4ba9414270ebfdf3f0168379d0f1984e1c9b7c1755723625f15d2f029e757c,deterministic_direct_block_materialization,selected,
Q-021,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d330686b16c734af,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d330686b16c734af,Set up an IPv6 6to4 tunnel Internet connection,Specify Your Internet Settings > Specify IPv6 Internet connections > Set up an IPv6 6to4 tunnel Internet connection,d363d52d-99b4-4258-9e83-eca4fbdf4722:ad49e55f-a53b-5c41-8bf1-a36c022c9b3b,ad49e55f-a53b-5c41-8bf1-a36c022c9b3b,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,34,35,61,30,31905,34453,0cebf279643f8a4126817eb3dcb1b875354b2e0b0d79d1afdd18146920a1eda4,deterministic_direct_block_materialization,selected,
Q-022,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:fac12b6c6fd62dc2,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:fac12b6c6fd62dc2,Change the MTU size,Specify Your Internet Settings > Manage the MTU size > Change the MTU size,d363d52d-99b4-4258-9e83-eca4fbdf4722:d4e1d4fc-7655-51fc-8d81-af75a4b11734,d4e1d4fc-7655-51fc-8d81-af75a4b11734,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,43,43,77,38,48727,49776,9583428f5e0f6fb22bd55c13791c5f26cc0148c73f8b4ecc1de3e95a3fd2c78a,deterministic_direct_block_materialization,selected,
Q-023,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:f870b0410fe0711a,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:f870b0410fe0711a,Remove a QoS Rule,Optimize Performance > Manage Default and Custom QoS Rules > Remove a QoS Rule,d363d52d-99b4-4258-9e83-eca4fbdf4722:31b5dd16-326a-5e79-817f-c2585e0248a2,31b5dd16-326a-5e79-817f-c2585e0248a2,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,49,49,91,45,56451,57231,07b5d5695e1f18376ec8bf7a5b1e7f2e4fd18fbcbfeb54a048695a89707ed3a4,deterministic_direct_block_materialization,selected,
Q-024,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:8ea5c049a8abf47b,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:8ea5c049a8abf47b,Manage Access to a Storage Device,Share USB Storage Devices Attached to the Router > Manage Access to a Storage Device,d363d52d-99b4-4258-9e83-eca4fbdf4722:0528f0b9-15e5-5482-9a68-0f02d2d61d68,0528f0b9-15e5-5482-9a68-0f02d2d61d68,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,97,98,183,91,133906,137774,08f4d9f12033439bb5512ea34cac482ddded8096d4b370d4eb4da09eed587a66,deterministic_direct_block_materialization,selected,
Q-025,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:902cbde304aea84b,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:902cbde304aea84b,Edit a network folder on a USB storage device,Share USB Storage Devices Attached to the Router > Edit a network folder on a USB storage device,d363d52d-99b4-4258-9e83-eca4fbdf4722:12d6aaad-d982-5f95-8b7d-63ba7706aba5,12d6aaad-d982-5f95-8b7d-63ba7706aba5,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,101,102,191,95,141687,142546,d883497ebd2be653dd851240c6f3129c31cec9f83c995900436babfc5cc11298,deterministic_direct_block_materialization,selected,
Q-026,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c27c0cf701a42141,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c27c0cf701a42141,Manage VPN Pass-Through,Manage the WAN and LAN Network Settings > Manage VPN Pass-Through,d363d52d-99b4-4258-9e83-eca4fbdf4722:3fbed70d-f242-5a78-90cc-f0f2674fe5f7,3fbed70d-f242-5a78-90cc-f0f2674fe5f7,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,119,119,235,117,164353,165394,d1884c13ebbdbe7dd336d794edfa686b651c3b9c061a29316f4322604cff3235,deterministic_direct_block_materialization,selected,
Q-027,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:5283c300a58533cf,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:5283c300a58533cf,Set Up a Bridge for a Port Group,Manage the WAN and LAN Network Settings > Set Up a Bridge for a Port Group or VLAN Tag Group > Set Up a Bridge for a Port Group,d363d52d-99b4-4258-9e83-eca4fbdf4722:92de127d-5c3f-5d2a-a801-234fc3e5b014,92de127d-5c3f-5d2a-a801-234fc3e5b014,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,131,131,267,133,181874,183553,2c5f83df71df05c8fe6eab446b60ae53faff568d503e9d54d550f319a6c874a4,deterministic_direct_block_materialization,selected,
Q-028,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:759d64cd684a03d3,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:759d64cd684a03d3,Check for new firmware and update the router,Manage Your Router > Update the router firmware > Check for new firmware and update the router,d363d52d-99b4-4258-9e83-eca4fbdf4722:2a3ade55-f893-5d78-8ead-3ff6b3d197c7,2a3ade55-f893-5d78-8ead-3ff6b3d197c7,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,135,136,275,137,186574,188155,879abc1b8636e5f8701374ad42a5cc1a3b71293c1c94525ea670acd273e27a43,deterministic_direct_block_materialization,selected,
Q-029,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c406dcd0d505ed73,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c406dcd0d505ed73,Disable or Enable LED Blinking or Turn Off LEDs,Manage Your Router > Disable or Enable LED Blinking or Turn Off LEDs,d363d52d-99b4-4258-9e83-eca4fbdf4722:5a7fc3bd-5bd0-57b2-944d-5a981598dcf7,5a7fc3bd-5bd0-57b2-944d-5a981598dcf7,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,140,141,291,145,194190,195377,4016cd50e600429929c1fde86ee2b44c38fff4926d1ae9fb5b518adfeaf4808c,deterministic_direct_block_materialization,selected,
Q-030,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:aaa110d73c5ebaf9,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:aaa110d73c5ebaf9,Install OpenVPN Software on an Android Device,Use VPN to Access Your Network > Install OpenVPN software > Install OpenVPN Software on an Android Device,d363d52d-99b4-4258-9e83-eca4fbdf4722:006d8e6b-77f6-54fa-826b-6d417979808f,006d8e6b-77f6-54fa-826b-6d417979808f,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,172,172,367,183,242146,243494,41b93beec5f999e952be7421274d10496f460dd2e23f42086f032689753450bb,deterministic_direct_block_materialization,selected,
Q-031,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:6ca762548278f56e,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:6ca762548278f56e,Troubleshoot Internet browsing,Troubleshooting > Troubleshoot Internet browsing,d363d52d-99b4-4258-9e83-eca4fbdf4722:818e0932-f3ff-5602-b5b9-5f1d94d353ed,818e0932-f3ff-5602-b5b9-5f1d94d353ed,outline_direct,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,194,195,435,217,278131,279260,f1122ce457d9b97cc66f71ff743505a86ddca8908189ac485db1629488e65b51,deterministic_direct_block_materialization,selected,
Q-032,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:0cc5c443004437fd,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:0cc5c443004437fd,Wired Connection,Connect to the Network and Access the Router > Connect to the Network > Wired Connection,8a56b2bf-5d68-4806-abb7-de39894bb404:cf6a9c70-f40a-521b-8ee5-c0a7ff8c1279,cf6a9c70-f40a-521b-8ee5-c0a7ff8c1279,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,19,19,23,11,8480,8936,7d84c41109d3a81e082038be3ca7df5b452afd13e15b0d4151115d602d7e945d,deterministic_direct_block_materialization,selected,
Q-033,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:615f1a78bd39eb84,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:615f1a78bd39eb84,Use the Internet Setup Wizard,Specify Your Internet Settings > Use the Internet Setup Wizard,8a56b2bf-5d68-4806-abb7-de39894bb404:9213a4bb-497e-56d3-be43-8791bb53a54e,9213a4bb-497e-56d3-be43-8791bb53a54e,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,25,25,43,21,16589,17620,490076e8ca9568d1e9b040b79181210488b9a5bfc87da5e85885186e54723667,deterministic_direct_block_materialization,selected,
Q-034,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:f4bd6a547d16c31d,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:f4bd6a547d16c31d,Add a QoS Rule by LAN pot,Optimize Performance > Optimize Internet Streaming With Dynamic QoS > Enable Advanced QoS and Manually Set Up QoS Rules > Add a QoS Rule by LAN pot,8a56b2bf-5d68-4806-abb7-de39894bb404:8aecb252-6293-553d-8e28-ef7b756f0c82,8aecb252-6293-553d-8e28-ef7b756f0c82,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,56,57,105,52,63107,64096,c44c35eb4d739ef5e16b291a77f1bc8db15ba6670ea29fbe989bc71dd3a320ef,deterministic_direct_block_materialization,selected,
Q-035,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:08da0d3cf6f7d113,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:08da0d3cf6f7d113,Improve Network Connections With Universal Plug-N-Play,Optimize Performance > Improve Network Connections With Universal Plug-N-Play,8a56b2bf-5d68-4806-abb7-de39894bb404:54a5ae0e-dabe-533f-8906-cd65b27661ec,54a5ae0e-dabe-533f-8906-cd65b27661ec,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,61,62,117,58,68463,70909,ae5b005cefb8ce9ecc9b7b1d9b87a0bc9c678d5ea45d68be44e0dd748c3d9bfc,deterministic_direct_block_materialization,selected,
Q-036,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:2b84714e210fd033,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:2b84714e210fd033,Check the Internet Connection Status,Manage Your Router > Check the Internet Connection Status,8a56b2bf-5d68-4806-abb7-de39894bb404:537310b8-39d1-57ca-81f0-ddddc2ad9916,537310b8-39d1-57ca-81f0-ddddc2ad9916,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,101,102,203,101,131021,132522,75fdc2d24deb32824657c250fcf695c0e6c7c095a90e73d9465a771c0e37915e,deterministic_direct_block_materialization,selected,
Q-037,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:42bc10659811af2c,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:42bc10659811af2c,Set Up Remote Management,Manage Your Router > Remote Access > Set Up Remote Management,8a56b2bf-5d68-4806-abb7-de39894bb404:79d677ad-2fef-50d3-92dd-c07a6df0f14e,79d677ad-2fef-50d3-92dd-c07a6df0f14e,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,107,108,221,110,140720,142335,101068f2956fab3a05aee09d60f8533c5698dacb21ef466f0bfddbcac6fcb516,deterministic_direct_block_materialization,selected,
Q-038,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:f79ea7be006eeae3,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:f79ea7be006eeae3,Change the NTP Server,Manage Your Router > Change the NTP Server,8a56b2bf-5d68-4806-abb7-de39894bb404:d4980606-c8d1-5aca-adbe-96e35254c9e1,d4980606-c8d1-5aca-adbe-96e35254c9e1,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,110,110,231,115,144949,145831,c557fad691fa55d518ea9650fc95eab829d60c3a93493fd523a2921de861340b,deterministic_direct_block_materialization,selected,
Q-039,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:6cca2b13d46fd9ff,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:6cca2b13d46fd9ff,Access USB Storage Devices Through the Internet,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Access USB Storage Devices Through the Internet,8a56b2bf-5d68-4806-abb7-de39894bb404:af255485-98d7-59f8-94db-806fd6280e64,af255485-98d7-59f8-94db-806fd6280e64,outline_direct,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,135,135,297,148,177004,177650,5aa2bf27903b48145e7f56435e216ea3018781206ee1f15cfb2800938dde8299,deterministic_direct_block_materialization,selected,
