outline_order,outline_id,document_id,filename,product_model,heading_block_id,heading_text,section_path,parent_section_path,parent_outline_id,depth,is_leaf_outline,child_outline_count,descendant_outline_count,direct_text_block_count,descendant_text_block_count,direct_question_candidate_count,descendant_question_candidate_count,direct_char_count,descendant_char_count,direct_token_estimate,descendant_token_estimate,page_start,page_end,page_bin,table_figure_block_count,exact_duplicate_block_count,template_duplicate_block_count,direct_block_ids,descendant_block_ids,direct_source_frame_ids,question_outline_allowed,review_reason
13,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,3b6d4494-0910-5625-b417-33271fd4b6a2,Change the admin password,Manage Your Network > Change the admin password,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,964,964,241,241,14,15,P3,0,0,0,0de5a970-8b6a-5e57-ba98-6f57671a841c,0de5a970-8b6a-5e57-ba98-6f57671a841c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,True,leaf outline with direct text candidate
14,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,3267e31d-06e1-52ec-9be0-daf2ee12b678,View cable modem initialization,Manage Your Network > View cable modem initialization,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,1223,1223,306,306,15,15,P3,0,0,0,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,True,leaf outline with direct text candidate
15,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:3bc23220bb587976,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,3459eefa-44c1-5b42-ace0-13f6dddd8d51,View cable modem status,Manage Your Network > View cable modem status,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,490,490,123,123,16,16,P3,0,0,0,89ec02e1-535c-52f6-9162-6966ecfbb9c3,89ec02e1-535c-52f6-9162-6966ecfbb9c3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:89ec02e1-535c-52f6-9162-6966ecfbb9c3,True,leaf outline with direct text candidate
16,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0601c67244ba3357,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,951e30e0-5ea7-567f-ab0d-e895d13ffa50,View and clear event logs,Manage Your Network > View and clear event logs,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,785,785,197,197,16,16,P3,0,0,0,aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,True,leaf outline with direct text candidate
17,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:af19bc7befb0ca10,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,f82e3bfa-b979-56d1-81a5-1a75022e378b,Specify the cable connection starting frequency,Manage Your Network > Specify the cable connection starting frequency,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,850,850,213,213,17,17,P4,0,0,0,d4e41f41-b904-5986-9e36-8f33dd80da5c,d4e41f41-b904-5986-9e36-8f33dd80da5c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:d4e41f41-b904-5986-9e36-8f33dd80da5c,True,leaf outline with direct text candidate
18,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:806d55507579d4a7,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,2c65e289-14c5-5b03-ad95-3337a4c6962a,Reboot the cable modem,Manage Your Network > Reboot the cable modem,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,815,815,204,204,17,18,P4,0,0,0,6d3c3709-9edf-533b-925d-d30eb7852b75,6d3c3709-9edf-533b-925d-d30eb7852b75,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:6d3c3709-9edf-533b-925d-d30eb7852b75,True,leaf outline with direct text candidate
19,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8b577a500810610d,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,10ef12a9-be6f-50b3-8b8a-7a2aa97815bb,Reset the cable modem to factory default settings,Manage Your Network > Reset the cable modem to factory default settings,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,False,2,2,1,3,1,3,522,1983,131,497,18,19,P4,0,0,0,32161388-87c1-53c5-9f08-9867bf5baeb1,32161388-87c1-53c5-9f08-9867bf5baeb1;c5c4c17f-c329-5b9c-837f-7d33e641682f;62f9a09d-d5a8-5805-8b92-4d0be62383ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:32161388-87c1-53c5-9f08-9867bf5baeb1,False,"parent outline, heading-only, or no structural text candidate"
20,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:25d276b399cc0e63,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,0a341e5e-02d2-5640-be56-456e012bd56b,Use the reset button on the back panel,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,Manage Your Network > Reset the cable modem to factory default settings,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8b577a500810610d,3,True,0,0,1,1,1,1,433,433,109,109,19,19,P4,0,0,0,c5c4c17f-c329-5b9c-837f-7d33e641682f,c5c4c17f-c329-5b9c-837f-7d33e641682f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:c5c4c17f-c329-5b9c-837f-7d33e641682f,True,leaf outline with direct text candidate
21,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:922aff4d97250b1a,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,a3606c4f-befa-5c17-b4b4-4717e4f6c4c2,Use the factory reset software button,Manage Your Network > Reset the cable modem to factory default settings > Use the factory reset software button,Manage Your Network > Reset the cable modem to factory default settings,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8b577a500810610d,3,True,0,0,1,1,1,1,1028,1028,257,257,19,19,P4,0,0,0,62f9a09d-d5a8-5805-8b92-4d0be62383ce,62f9a09d-d5a8-5805-8b92-4d0be62383ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:62f9a09d-d5a8-5805-8b92-4d0be62383ce,True,leaf outline with direct text candidate
22,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:c3af076f92c5ed8d,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,bc36a877-e4f8-5d1a-8bf4-4786705b0ff4,Troubleshooting,Troubleshooting,[ROOT],,1,False,3,3,1,4,1,4,225,3381,57,847,20,23,P4,1,0,0,0b4be46a-1b6b-58a7-9c32-aa26b9e82c7c,0b4be46a-1b6b-58a7-9c32-aa26b9e82c7c;a88667b7-b299-50cb-9f9c-7ca1197494a0;85bd9c8e-a264-5649-acbc-73648b7ce861;5127b280-fd0a-571f-ab9a-f66bb57d3f73,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0b4be46a-1b6b-58a7-9c32-aa26b9e82c7c,False,"parent outline, heading-only, or no structural text candidate"
23,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:9881de1ecb3430ea,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,12f50369-8214-5dde-bdb2-9554e72b62ce,Use LEDs to Troubleshoot,Troubleshooting > Use LEDs to Troubleshoot,Troubleshooting,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:c3af076f92c5ed8d,2,True,0,0,1,1,1,1,1734,1734,434,434,21,22,P4,1,0,0,a88667b7-b299-50cb-9f9c-7ca1197494a0,a88667b7-b299-50cb-9f9c-7ca1197494a0,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:a88667b7-b299-50cb-9f9c-7ca1197494a0,True,leaf outline with direct text candidate
24,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:a071a10fef9360ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,f0acd1b4-cdf0-58be-a328-257d51ea348e,Cannot log in to the cable modem,Troubleshooting > Cannot log in to the cable modem,Troubleshooting,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:c3af076f92c5ed8d,2,True,0,0,1,1,1,1,1170,1170,293,293,23,23,P5,0,0,0,85bd9c8e-a264-5649-acbc-73648b7ce861,85bd9c8e-a264-5649-acbc-73648b7ce861,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:85bd9c8e-a264-5649-acbc-73648b7ce861,True,leaf outline with direct text candidate
25,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:ca8db145f755d04e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,6638bf95-05ae-5c58-b487-cc05d527b1ab,Troubleshoot the cable internet connection,Troubleshooting > Troubleshoot the cable internet connection,Troubleshooting,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:c3af076f92c5ed8d,2,True,0,0,1,1,1,1,252,252,63,63,23,23,P5,0,0,0,5127b280-fd0a-571f-ab9a-f66bb57d3f73,5127b280-fd0a-571f-ab9a-f66bb57d3f73,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:5127b280-fd0a-571f-ab9a-f66bb57d3f73,True,leaf outline with direct text candidate
26,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:d2f327c49d409f7f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,665b08cf-af46-5207-94be-f1a63d358298,Supplemental Information,Supplemental Information,[ROOT],,1,False,2,2,1,3,1,3,88,1223,22,307,24,26,P5,2,0,0,5623215c-e3d7-5f63-a386-5a1795da0cec,5623215c-e3d7-5f63-a386-5a1795da0cec;aaab89bf-432b-54b0-8b19-e4aba634a9a7;88695618-cf2a-5bf0-9a58-da1167d8f0c6,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:5623215c-e3d7-5f63-a386-5a1795da0cec,False,"parent outline, heading-only, or no structural text candidate"
27,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8f47581d1b5990c8,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,5efb2827-8535-50aa-80d2-e73318cd720a,Factory Settings,Supplemental Information > Factory Settings,Supplemental Information,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:d2f327c49d409f7f,2,True,0,0,1,1,1,1,377,377,95,95,25,25,P5,1,0,0,aaab89bf-432b-54b0-8b19-e4aba634a9a7,aaab89bf-432b-54b0-8b19-e4aba634a9a7,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:aaab89bf-432b-54b0-8b19-e4aba634a9a7,True,leaf outline with direct text candidate
28,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:b934612f8b7cd99e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,7da7ea54-a795-5e86-813b-2c4cf96f42f5,Technical Specifications,Supplemental Information > Technical Specifications,Supplemental Information,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:d2f327c49d409f7f,2,True,0,0,1,1,1,1,758,758,190,190,25,26,P5,1,0,0,88695618-cf2a-5bf0-9a58-da1167d8f0c6,88695618-cf2a-5bf0-9a58-da1167d8f0c6,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:88695618-cf2a-5bf0-9a58-da1167d8f0c6,True,leaf outline with direct text candidate
1,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:dea0021ab44ebff4,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,ce191596-e4c2-50ad-b682-34b799bcce06,Introduction and Hardware Overview,Introduction and Hardware Overview,[ROOT],,1,False,11,11,1,12,1,12,1135,11612,284,2907,6,16,P1,6,0,0,08721bd4-8e6b-5632-9f7a-ce7fe27dbf39,08721bd4-8e6b-5632-9f7a-ce7fe27dbf39;38e7df97-d206-5045-992f-f6f94b5d20a0;8906d18b-9f42-59e8-80d2-6a61d61889ce;e9b08921-891c-505e-a99e-2dc216159d13;6f0c387b-1f88-5053-ab87-88c4b71a3cea;37f50132-32d9-5fb0-a62d-366e401ac417;e73ee2ff-1f79-57c4-9fb6-1d1945e522dc;e8873740-484a-565e-bd6d-09fecedae0e9;c6299716-41cf-5ba8-a842-e253040502ba;2619dfbb-86bf-53e1-a865-383c51d2e883;50e7b2b8-942c-5043-94ab-577b121cd1d1;6bf86f5e-3407-5530-ae87-83da33229909,398c0bb9-3253-4629-a5ed-18f51d9fb36b:08721bd4-8e6b-5632-9f7a-ce7fe27dbf39,False,"parent outline, heading-only, or no structural text candidate"
2,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:0f2135f7ed64c474,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,974ab355-5177-59d0-a325-36dec104afc5,Introduction,Introduction and Hardware Overview > Introduction,Introduction and Hardware Overview,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:dea0021ab44ebff4,2,True,0,0,1,1,1,1,1478,1478,370,370,8,8,P1,0,0,0,38e7df97-d206-5045-992f-f6f94b5d20a0,38e7df97-d206-5045-992f-f6f94b5d20a0,398c0bb9-3253-4629-a5ed-18f51d9fb36b:38e7df97-d206-5045-992f-f6f94b5d20a0,True,leaf outline with direct text candidate
3,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:601b0367a99c78a5,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,d13a1e0d-f4aa-5dbc-bc84-7485a209e361,Supported Mobile Broadband Bands,Introduction and Hardware Overview > Supported Mobile Broadband Bands,Introduction and Hardware Overview,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:dea0021ab44ebff4,2,True,0,0,1,1,1,1,736,736,184,184,8,9,P1,1,0,0,8906d18b-9f42-59e8-80d2-6a61d61889ce,8906d18b-9f42-59e8-80d2-6a61d61889ce,398c0bb9-3253-4629-a5ed-18f51d9fb36b:8906d18b-9f42-59e8-80d2-6a61d61889ce,True,leaf outline with direct text candidate
4,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:826e4980c6db7918,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,016f7dd4-39f7-5023-a5f9-a93a9ee51372,Package Contents,Introduction and Hardware Overview > Package Contents,Introduction and Hardware Overview,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:dea0021ab44ebff4,2,True,0,0,1,1,1,1,194,194,49,49,9,9,P1,1,0,0,e9b08921-891c-505e-a99e-2dc216159d13,e9b08921-891c-505e-a99e-2dc216159d13,398c0bb9-3253-4629-a5ed-18f51d9fb36b:e9b08921-891c-505e-a99e-2dc216159d13,True,leaf outline with direct text candidate
