question_pair_id,anchor_question_id,outline_frame_id,document_id,filename,product_model,parent_heading_id,block_id,source_frame_id,block_role,section_path,page_start,page_end,block_sequence,token_estimate,selection_method,selection_status,selection_reason
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,802c451f-4eff-53fc-954c-78e91ffdc453,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:802c451f-4eff-53fc-954c-78e91ffdc453,parent_subtree_child,Hardware Setup,4,4,3,65,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,833c7618-7c73-5ea3-aaf6-5f74eae69f52,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:833c7618-7c73-5ea3-aaf6-5f74eae69f52,parent_subtree_child,Hardware Setup > Front Panel and LEDs,5,6,5,404,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,724d26e2-ed75-5043-b025-de4c01da0714,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,parent_subtree_child,Hardware Setup > Rear Panel,6,8,7,206,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,b9899548-cfa5-5bb4-8284-7d82e663abd1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,anchor,Hardware Setup > Label,8,8,9,28,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,2114aed4-1869-5c44-956a-f740b1082208,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:2114aed4-1869-5c44-956a-f740b1082208,parent_subtree_child,Hardware Setup > System Requirements,8,9,11,101,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem,9,9,13,32,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,3d9321dd-db92-5587-9b08-a34e736a627e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:3d9321dd-db92-5587-9b08-a34e736a627e,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Computer,9,10,15,365,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Activate Your Internet Service,10,11,17,448,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8ed480ba-e35c-5a7d-85ba-ad748ae7732c,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Perform a Speed Test,11,11,19,56,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,11,12,21,177,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,949c23eb-822d-58c7-b7c9-930c32d73b85,bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem,9,9,13,32,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,949c23eb-822d-58c7-b7c9-930c32d73b85,3d9321dd-db92-5587-9b08-a34e736a627e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:3d9321dd-db92-5587-9b08-a34e736a627e,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Computer,9,10,15,365,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,949c23eb-822d-58c7-b7c9-930c32d73b85,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Activate Your Internet Service,10,11,17,448,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,949c23eb-822d-58c7-b7c9-930c32d73b85,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8ed480ba-e35c-5a7d-85ba-ad748ae7732c,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Perform a Speed Test,11,11,19,56,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,949c23eb-822d-58c7-b7c9-930c32d73b85,8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,anchor,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,11,12,21,177,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,04fa120c-f70a-5771-82d0-525c222814e1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:04fa120c-f70a-5771-82d0-525c222814e1,parent_subtree_child,Manage Your Network,13,13,23,134,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,4cb893dc-21bd-5b88-92cb-a874cd79e74e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4cb893dc-21bd-5b88-92cb-a874cd79e74e,parent_subtree_child,Manage Your Network > Log in to the cable modem,14,14,25,166,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,0de5a970-8b6a-5e57-ba98-6f57671a841c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,anchor,Manage Your Network > Change the admin password,14,15,27,241,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,parent_subtree_child,Manage Your Network > View cable modem initialization,15,15,29,306,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,89ec02e1-535c-52f6-9162-6966ecfbb9c3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:89ec02e1-535c-52f6-9162-6966ecfbb9c3,parent_subtree_child,Manage Your Network > View cable modem status,16,16,31,123,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,parent_subtree_child,Manage Your Network > View and clear event logs,16,16,33,197,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,d4e41f41-b904-5986-9e36-8f33dd80da5c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:d4e41f41-b904-5986-9e36-8f33dd80da5c,parent_subtree_child,Manage Your Network > Specify the cable connection starting frequency,17,17,35,213,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,6d3c3709-9edf-533b-925d-d30eb7852b75,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:6d3c3709-9edf-533b-925d-d30eb7852b75,parent_subtree_child,Manage Your Network > Reboot the cable modem,17,18,37,204,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,32161388-87c1-53c5-9f08-9867bf5baeb1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:32161388-87c1-53c5-9f08-9867bf5baeb1,parent_subtree_child,Manage Your Network > Reset the cable modem to factory default settings,18,18,39,131,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,c5c4c17f-c329-5b9c-837f-7d33e641682f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:c5c4c17f-c329-5b9c-837f-7d33e641682f,parent_subtree_child,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,19,19,41,109,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,62f9a09d-d5a8-5805-8b92-4d0be62383ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:62f9a09d-d5a8-5805-8b92-4d0be62383ce,parent_subtree_child,Manage Your Network > Reset the cable modem to factory default settings > Use the factory reset software button,19,19,43,257,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,04fa120c-f70a-5771-82d0-525c222814e1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:04fa120c-f70a-5771-82d0-525c222814e1,parent_subtree_child,Manage Your Network,13,13,23,134,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,4cb893dc-21bd-5b88-92cb-a874cd79e74e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4cb893dc-21bd-5b88-92cb-a874cd79e74e,parent_subtree_child,Manage Your Network > Log in to the cable modem,14,14,25,166,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,0de5a970-8b6a-5e57-ba98-6f57671a841c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,parent_subtree_child,Manage Your Network > Change the admin password,14,15,27,241,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,anchor,Manage Your Network > View cable modem initialization,15,15,29,306,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,89ec02e1-535c-52f6-9162-6966ecfbb9c3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:89ec02e1-535c-52f6-9162-6966ecfbb9c3,parent_subtree_child,Manage Your Network > View cable modem status,16,16,31,123,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08,parent_subtree_child,Manage Your Network > View and clear event logs,16,16,33,197,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,d4e41f41-b904-5986-9e36-8f33dd80da5c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:d4e41f41-b904-5986-9e36-8f33dd80da5c,parent_subtree_child,Manage Your Network > Specify the cable connection starting frequency,17,17,35,213,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,6d3c3709-9edf-533b-925d-d30eb7852b75,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:6d3c3709-9edf-533b-925d-d30eb7852b75,parent_subtree_child,Manage Your Network > Reboot the cable modem,17,18,37,204,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,32161388-87c1-53c5-9f08-9867bf5baeb1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:32161388-87c1-53c5-9f08-9867bf5baeb1,parent_subtree_child,Manage Your Network > Reset the cable modem to factory default settings,18,18,39,131,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,c5c4c17f-c329-5b9c-837f-7d33e641682f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:c5c4c17f-c329-5b9c-837f-7d33e641682f,parent_subtree_child,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,19,19,41,109,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
