question_id,question_pair_id,outline_frame_id,document_id,filename,product_model,section_path,question_family,language,question,answer,context_block_ids,evidence_block_ids,review_status
Q-011,Q-011,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:48e34928377b828f,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,"Get Started > Connect a Computer, Switch, Hub, Router, or WiFi Router to the Modem > Connect a Computer to the LAN Port of the Modem",setup_configuration,en,How do I connect one computer to the LM1200 with a network cable?,Connect one end of the supplied Ethernet cable to the computer Ethernet port and the other end to the modem Gigabit Ethernet LAN port on the back panel.,"[""36789817-932f-55f7-9c50-bb45d2df0cbe""]","[""36789817-932f-55f7-9c50-bb45d2df0cbe""]",auto_validated
Q-012,Q-012,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:38b50e33ee1e7189,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Manage the Modem LAN Settings > Change the DHCP Server Settings,setup_configuration,en,How can I change the network settings that the LM1200 gives to my devices?,"Sign in at 192.168.5.1, open Settings > Advanced > LAN, keep DHCP Server enabled, enter the start and end addresses in DHCP IP Range, optionally change the lease time, select Manual DNS to enter DNS 1 and DNS 2, and click Submit. The modem resets and connected devices must obtain new addresses.","[""fa675707-eec3-5dae-b80f-46a21238adcf""]","[""fa675707-eec3-5dae-b80f-46a21238adcf""]",auto_validated
Q-013,Q-013,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:88b9a28663a8f104,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Manage the Mobile Broadband Connection > Manually Connect to or Disconnect From the Mobile Broadband Network,setup_configuration,en,How can I manually connect or disconnect the LM1200 from the mobile network?,"Disable Auto Connect first, sign in to 192.168.5.1, and click Connect or Disconnect on the dashboard. Wait for the dashboard to display again after the modem attempts the requested action.","[""cf1f57e0-473a-57f3-8d91-a52b0070e80b""]","[""cf1f57e0-473a-57f3-8d91-a52b0070e80b""]",auto_validated
Q-014,Q-014,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:86696f313ad41e44,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Secure Your Network > Manage Port Forwarding for Incoming Traffic > Remove a Service or Application for Port Forwarding,troubleshooting_diagnostics,en,How do I remove a connection rule that I no longer need on the LM1200?,"Sign in at 192.168.5.1, select Settings > Advanced > Port Forwarding, and click the x beside the service or application. It is removed immediately; Submit is not required.","[""72dd6f50-8da8-5970-b90b-3a0719762e64""]","[""72dd6f50-8da8-5970-b90b-3a0719762e64""]",auto_validated
Q-015,Q-015,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:f8bc4360594722fe,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Secure Your Network > Manage SIM Card Security > Disable SIM Card Security,features_security_maintenance_limitations,en,What should I know before turning off SIM security on the LM1200?,"Repeated incorrect SIM PIN entries can block the card; the allowed attempts depend on the SIM. In that case the provider must supply a PUK. After disabling SIM security with the correct PIN, the modem no longer asks for a SIM PIN when it connects.","[""eb06abbc-3f74-5ddc-bfd6-17572beb2155""]","[""eb06abbc-3f74-5ddc-bfd6-17572beb2155""]",auto_validated
Q-016,Q-016,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:65329abb6d0ed1e0,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Manage the Modem and Monitor Usage and the Network > View Monthly Data and Session Data Usage,facts_specifications,en,What do the monthly and current-session data numbers on the LM1200 mean?,Monthly usage measures data from the billing-cycle start and resets automatically at the next cycle. Session usage measures data and elapsed time for the current connection and resets for each session; the session section appears only while connected.,"[""7e1a62c7-f256-5d08-a456-a62949c30491""]","[""7e1a62c7-f256-5d08-a456-a62949c30491""]",auto_validated
Q-017,Q-017,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:623d8b68d20208e6,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Frequently Asked Questions > How do I access the modem’s web pages?,facts_specifications,en,Where can I find the instructions for opening the LM1200 settings?,The manual directs you to the section Access the Modem’s Web Pages for the First Time on page 19.,"[""43434cb0-0be2-5d97-be19-dfb7256b7c44""]","[""43434cb0-0be2-5d97-be19-dfb7256b7c44""]",auto_validated
Q-018,Q-018,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:6359ba84b27768d6,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Alerts and Troubleshooting > Quick Tips for Troubleshooting,troubleshooting_diagnostics,en,The LM1200 will not connect. What should I check for mobile and cable connections?,"For mobile broadband, verify coverage and an active account, reseat the SIM, and unlock it with the correct PIN if SIM security is enabled. For Ethernet, check the cable and make sure the computer obtains its address automatically with DHCP rather than using a static address.","[""82ef2627-a58c-55ae-ab74-3f865a33e979""]","[""82ef2627-a58c-55ae-ab74-3f865a33e979""]",auto_validated
Q-019,Q-019,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:540f7aed0e05d214,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Alerts and Troubleshooting > Troubleshoot the Mobile Broadband Internet Connection > Obtain an Internet IP Address From Your Service Provider,troubleshooting_diagnostics,en,"Why does the LM1200 show that it has no internet address, and what can I do?","It means the modem did not obtain an Internet IP address from the provider. Check that an APN profile exists, power-cycle the modem, and contact the mobile provider if an address still cannot be obtained.","[""6f442d4b-b8ba-5fe7-b4e9-9e90463dc194""]","[""6f442d4b-b8ba-5fe7-b4e9-9e90463dc194""]",auto_validated
Q-020,Q-020,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d0ee27b3b2631033,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Specify Your Internet Settings > Manually set up the Internet connection > Specify an Internet connection that uses a login and PPPoE service,troubleshooting_diagnostics,en,How do I set up an R6350 internet connection that needs a provider username and password?,"Open routerlogin.net, select Internet, choose Yes for a login and PPPoE as the encapsulation, enter the ISP login and password, provide a service name if required, select the connection mode, IP and DNS options, choose the MAC address option, click Apply, and then Test the connection.","[""1190a45f-877b-5cd2-a8d9-5ab1c390c374""]","[""1190a45f-877b-5cd2-a8d9-5ab1c390c374""]",auto_validated
Q-021,Q-021,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d330686b16c734af,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Specify Your Internet Settings > Specify IPv6 Internet connections > Set up an IPv6 6to4 tunnel Internet connection,troubleshooting_diagnostics,en,What needs to be ready before I use the R6350 with an IPv6 tunnel?,"The IPv4 Internet connection must work first. In ADVANCED > Advanced Setup > IPv6 choose 6to4 Tunnel, then use an automatically selected relay or enter the static IPv4 address supplied by the IPv6 provider; finish the DNS and address-assignment settings and apply them.","[""ad49e55f-a53b-5c41-8bf1-a36c022c9b3b""]","[""ad49e55f-a53b-5c41-8bf1-a36c022c9b3b""]",auto_validated
Q-022,Q-022,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:fac12b6c6fd62dc2,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Specify Your Internet Settings > Manage the MTU size > Change the MTU size,troubleshooting_diagnostics,en,Could changing the R6350 connection-size setting stop some websites from opening?,"An incorrect MTU can prevent access to websites, secure login pages, or FTP/POP servers, so change it only when necessary. In WAN Setup enter 64–1500; typical values are 1500 for Ethernet, 1492 for PPPoE, and 1436 for PPTP.","[""d4e1d4fc-7655-51fc-8d81-af75a4b11734""]","[""d4e1d4fc-7655-51fc-8d81-af75a4b11734""]",auto_validated
Q-023,Q-023,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:f870b0410fe0711a,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Optimize Performance > Manage Default and Custom QoS Rules > Remove a QoS Rule,troubleshooting_diagnostics,en,How do I remove a speed-priority rule on the R6350?,"Sign in at routerlogin.net, select ADVANCED > Setup > QoS Setup, select the service, application, or device in the QoS table, click Delete, and click Apply.","[""31b5dd16-326a-5e79-817f-c2585e0248a2""]","[""31b5dd16-326a-5e79-817f-c2585e0248a2""]",auto_validated
Q-024,Q-024,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:8ea5c049a8abf47b,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Share USB Storage Devices Attached to the Router > Manage Access to a Storage Device,setup_configuration,en,What can I do with a USB drive connected to the R6350?,"In ReadySHARE you can set the device and workgroup names and enable or disable Network Connection, HTTP, HTTPS via the Internet, FTP, and FTP via the Internet. Each method has documented default ports and password-protection options.","[""0528f0b9-15e5-5482-9a68-0f02d2d61d68""]","[""0528f0b9-15e5-5482-9a68-0f02d2d61d68""]",auto_validated
Q-025,Q-025,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:902cbde304aea84b,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Share USB Storage Devices Attached to the Router > Edit a network folder on a USB storage device,setup_configuration,en,How do I change a folder that I share from a USB drive?,"Open ADVANCED > USB Storage > ReadySHARE, select the USB device under Available Network Folders, click Edit, change the fields, and click Apply.","[""12d6aaad-d982-5f95-8b7d-63ba7706aba5""]","[""12d6aaad-d982-5f95-8b7d-63ba7706aba5""]",auto_validated
Q-026,Q-026,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c27c0cf701a42141,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Manage the WAN and LAN Network Settings > Manage VPN Pass-Through,facts_specifications,en,What does VPN pass-through do on the R6350?,"It lets a LAN computer receive Internet VPN traffic over IPSec, PPTP, or L2TP. It is enabled by default; disabling a protocol blocks its VPN pass-through traffic.","[""3fbed70d-f242-5a78-90cc-f0f2674fe5f7""]","[""3fbed70d-f242-5a78-90cc-f0f2674fe5f7""]",auto_validated
Q-027,Q-027,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:5283c300a58533cf,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Manage the WAN and LAN Network Settings > Set Up a Bridge for a Port Group or VLAN Tag Group > Set Up a Bridge for a Port Group,setup_configuration,en,Why might my TV device need a special bridge setting on the R6350?,An ISP may require the bridge when an IPTV device is connected. The bridge prevents packets between the IPTV device and the Internet port from being processed by the router’s NAT service.,"[""92de127d-5c3f-5d2a-a801-234fc3e5b014""]","[""92de127d-5c3f-5d2a-a801-234fc3e5b014""]",auto_validated
Q-028,Q-028,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:759d64cd684a03d3,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Manage Your Router > Update the router firmware > Check for new firmware and update the router,troubleshooting_diagnostics,en,How do I safely check for and install updates on the R6350?,"Use an Ethernet-connected computer, sign in at routerlogin.net, open ADVANCED > Administration > Firmware Update, click Check, download and install an available update, and follow the confirmation. The wired connection is recommended during the update.","[""2a3ade55-f893-5d78-8ead-3ff6b3d197c7""]","[""2a3ade55-f893-5d78-8ead-3ff6b3d197c7""]",auto_validated
Q-029,Q-029,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c406dcd0d505ed73,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Manage Your Router > Disable or Enable LED Blinking or Turn Off LEDs,features_security_maintenance_limitations,en,Can I change how the lights blink on the R6350?,"LED Control Settings can keep normal blinking when traffic is detected, disable traffic blinking, or turn off every LED except the Power LED. The setting is changed under ADVANCED > Advanced Setup > LED Control Settings.","[""5a7fc3bd-5bd0-57b2-944d-5a981598dcf7""]","[""5a7fc3bd-5bd0-57b2-944d-5a981598dcf7""]",auto_validated
Q-030,Q-030,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:aaa110d73c5ebaf9,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Use VPN to Access Your Network > Install OpenVPN software > Install OpenVPN Software on an Android Device,setup_configuration,en,How can I use the R6350 VPN service on an Android phone?,"Enable VPN Service in ADVANCED > Advanced Setup > VPN Service, download the smartphone configuration files, install OpenVPN Connect from Google Play, unzip the files on a computer, and send or copy them to the Android device for import.","[""006d8e6b-77f6-54fa-826b-6d417979808f""]","[""006d8e6b-77f6-54fa-826b-6d417979808f""]",auto_validated
Q-031,Q-031,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:6ca762548278f56e,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,Troubleshooting > Troubleshoot Internet browsing,troubleshooting_diagnostics,en,"The R6350 says it is connected, but websites will not open. What should I check?","The traffic-meter limit may be blocking access, the computer may lack DNS addresses, or the router may not be the default gateway. Check the traffic-meter setting, restart or configure DNS on the computer, and verify the router address is its gateway.","[""818e0932-f3ff-5602-b5b9-5f1d94d353ed""]","[""818e0932-f3ff-5602-b5b9-5f1d94d353ed""]",auto_validated
Q-032,Q-032,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:0cc5c443004437fd,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Connect to the Network and Access the Router > Connect to the Network > Wired Connection,facts_specifications,en,What happens when I plug a computer into the R7000 with a network cable?,"With the router powered, connect an Ethernet cable from the computer to a router Ethernet port. The computer then joins the router’s local area network.","[""cf6a9c70-f40a-521b-8ee5-c0a7ff8c1279""]","[""cf6a9c70-f40a-521b-8ee5-c0a7ff8c1279""]",auto_validated
Q-033,Q-033,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:615f1a78bd39eb84,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Specify Your Internet Settings > Use the Internet Setup Wizard,setup_configuration,en,How can I let the R7000 set up my internet connection automatically?,"Sign in at routerlogin.net, choose ADVANCED > Setup Wizard, select Yes, and click Next. The wizard searches for servers and protocols to determine the Internet configuration.","[""9213a4bb-497e-56d3-be43-8791bb53a54e""]","[""9213a4bb-497e-56d3-be43-8791bb53a54e""]",auto_validated
Q-034,Q-034,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:f4bd6a547d16c31d,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Optimize Performance > Optimize Internet Streaming With Dynamic QoS > Enable Advanced QoS and Manually Set Up QoS Rules > Add a QoS Rule by LAN pot,setup_configuration,en,How can I give one device or cable connection priority when the network is busy?,"Open QoS, enable QoS and Advanced QoS, choose QoS by LAN Port, name the policy, select the Ethernet LAN port and a device priority, click Add, and then Apply.","[""8aecb252-6293-553d-8e28-ef7b756f0c82""]","[""8aecb252-6293-553d-8e28-ef7b756f0c82""]",auto_validated
Q-035,Q-035,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:08da0d3cf6f7d113,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Optimize Performance > Improve Network Connections With Universal Plug-N-Play,facts_specifications,en,What does UPnP do for devices and games on the R7000?,"Universal Plug-and-Play lets network devices discover services from registered UPnP devices and configure connections automatically. It is useful for multiplayer games, peer-to-peer connections, and real-time communications.","[""54a5ae0e-dabe-533f-8906-cd65b27661ec""]","[""54a5ae0e-dabe-533f-8906-cd65b27661ec""]",auto_validated
Q-036,Q-036,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:2b84714e210fd033,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Manage Your Router > Check the Internet Connection Status,facts_specifications,en,Where can I see the R7000's current internet connection details?,"The window shows the router IP address, subnet mask, default gateway, DHCP server, DNS server, and other Internet-port status values listed by the manual.","[""537310b8-39d1-57ca-81f0-ddddc2ad9916""]","[""537310b8-39d1-57ca-81f0-ddddc2ad9916""]",auto_validated
Q-037,Q-037,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:42bc10659811af2c,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Manage Your Router > Remote Access > Set Up Remote Management,features_security_maintenance_limitations,en,How can I reach the R7000 from outside my home while limiting who can connect?,"Under ADVANCED > Advanced Setup > Remote Management, turn it on and restrict Allow Remote Access By to only the necessary external IP address or range. The manual recommends allowing as few addresses as practical.","[""79d677ad-2fef-50d3-92dd-c07a6df0f14e""]","[""79d677ad-2fef-50d3-92dd-c07a6df0f14e""]",auto_validated
Q-038,Q-038,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:f79ea7be006eeae3,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Manage Your Router > Change the NTP Server,setup_configuration,en,How can I change the time service used by the R7000?,"Open ADVANCED > Administration > NTP Settings, select Set your preferred NTP server, enter the primary server domain or IP address, and click Apply.","[""d4980606-c8d1-5aca-adbe-96e35254c9e1""]","[""d4980606-c8d1-5aca-adbe-96e35254c9e1""]",auto_validated
Q-039,Q-039,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:6cca2b13d46fd9ff,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Access USB Storage Devices Through the Internet,features_security_maintenance_limitations,en,How can I reach files on a USB drive connected to the R7000 while away from home?,"From a remote computer, connect using the router’s Dynamic DNS name or its Internet-port IP address. Dynamic DNS requires account information on the Dynamic DNS page; FTP can then be used to share files.","[""af255485-98d7-59f8-94db-806fd6280e64""]","[""af255485-98d7-59f8-94db-806fd6280e64""]",auto_validated
Q-040,Q-040,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:0fc676a3a4479418,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Remotely Access a USB Device Using ReadyCLOUD > Create a ReadyCLOUD Account,setup_configuration,en,How do I create a ReadyCLOUD account for the R7000?,"Open a browser, visit the ReadyCLOUD address, click Sign In and then Create Account, complete the MyNETGEAR account fields, and click Create. The router can then be registered with that account.","[""89cf7641-ad76-514d-a38e-ff036b200250""]","[""89cf7641-ad76-514d-a38e-ff036b200250""]",auto_validated
Q-041,Q-041,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:fdf9a6339ff3dcd8,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Use VPN to Access Your Network > Install OpenVPN Software > Install OpenVPN Software on an iOS Device,setup_configuration,en,How can I use the R7000 VPN service on an iPhone or iPad?,"Enable VPN Service, download the smartphone configuration files from the router, install OpenVPN Connect from the Apple App Store, unzip the files on a computer, and send them to the iOS device for import.","[""0cff8f5c-96b8-5d33-9c11-37f93f8300fb""]","[""0cff8f5c-96b8-5d33-9c11-37f93f8300fb""]",auto_validated
Q-042,Q-042,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:59222463e26d1879,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Troubleshooting > Quick Tips > Sequence to Restart Your Network,troubleshooting_diagnostics,en,What is the correct order for restarting my modem and R7000?,"Turn off and unplug the modem, turn off the router, plug in and power on the modem and wait two minutes, then turn on the router and wait another two minutes.","[""f2289449-f54e-5af6-8243-762118ef305b""]","[""f2289449-f54e-5af6-8243-762118ef305b""]",auto_validated
Q-043,Q-043,8a56b2bf-5d68-4806-abb7-de39894bb404:OUTLINE:2be192fda8a4722e,8a56b2bf-5d68-4806-abb7-de39894bb404,netgear-r7000.pdf,R7000,Troubleshooting > Troubleshoot WiFi Connectivity,troubleshooting_diagnostics,en,My R7000 Wi-Fi is weak or missing. What should I check?,"Check the WiFi LED and radio button, whether SSID broadcast hides the network, and whether the device supports the selected WPA/WPA2/WPA3 security. For weak signal, use Ethernet to inspect settings and place the device near—but at least six feet from—the router, away from obstructions.","[""65aa662f-9473-5c74-b996-74e7f545f09c""]","[""65aa662f-9473-5c74-b996-74e7f545f09c""]",auto_validated
Q-044,Q-044,d69381d0-06ed-49bf-9fe1-6050d9374432:OUTLINE:89ac3ac6d4a7bbea,d69381d0-06ed-49bf-9fe1-6050d9374432,netgear-rax120.pdf,RAX120,Hardware Setup > Unpack your router,facts_specifications,en,What should be included in the RAX120 box?,"The package contains the router, its power adapter, and an Ethernet cable.","[""89d399fa-1c1b-5d37-b35a-194ce673ec69""]","[""89d399fa-1c1b-5d37-b35a-194ce673ec69""]",auto_validated
Q-045,Q-045,d69381d0-06ed-49bf-9fe1-6050d9374432:OUTLINE:4bdaaa28252d41a2,d69381d0-06ed-49bf-9fe1-6050d9374432,netgear-rax120.pdf,RAX120,Connect to the network and access the router > Types of logins,facts_specifications,en,"Which password is for my internet, Wi-Fi, NETGEAR account, and router settings?",The ISP login accesses the Internet service; the WiFi key accesses the wireless network; the NETGEAR account registers the router and manages subscriptions; and the router login password opens the router administration pages.,"[""6af6a140-458c-5188-b116-2f8430c69437""]","[""6af6a140-458c-5188-b116-2f8430c69437""]",auto_validated
